site_id,family,locale,file_path,en_path,issue_type,detail,priority
reference.aspose.org,cells,ru,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\ru\cells\python\JsonSaveOptions.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\cells\python\JsonSaveOptions.md,table_desc_not_translated,8/8 desc cells English,3
reference.aspose.org,cells,bg,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\bg\cells\python\MarkdownSaveOptions.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\cells\python\MarkdownSaveOptions.md,table_desc_not_translated,21/21 desc cells English,3
reference.aspose.org,cells,el,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\el\cells\python\MarkdownSaveOptions.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\cells\python\MarkdownSaveOptions.md,table_desc_not_translated,21/21 desc cells English,3
reference.aspose.org,cells,ru,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\ru\cells\python\MarkdownSaveOptions.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\cells\python\MarkdownSaveOptions.md,table_desc_not_translated,21/21 desc cells English,3
reference.aspose.org,cells,bg,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\bg\cells\python\MsoFillFormat.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\cells\python\MsoFillFormat.md,table_desc_not_translated,2/3 desc cells English,3
reference.aspose.org,cells,ru,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\ru\cells\python\MsoFillFormat.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\cells\python\MsoFillFormat.md,table_desc_not_translated,2/3 desc cells English,3
reference.aspose.org,cells,bg,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\bg\cells\python\MsoLineFormat.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\cells\python\MsoLineFormat.md,table_desc_not_translated,2/4 desc cells English,3
reference.aspose.org,cells,ru,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\ru\cells\python\MsoLineFormat.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\cells\python\MsoLineFormat.md,table_desc_not_translated,2/4 desc cells English,3
reference.aspose.org,cells,es,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\es\cells\python\shape.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\cells\python\shape.md,newline_explosion,EN=95 TR=281,4
reference.aspose.org,cells,fa,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\fa\cells\python\shape.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\cells\python\shape.md,newline_explosion,EN=95 TR=281,4
reference.aspose.org,cells,fa,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\fa\cells\python\shape.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\cells\python\shape.md,table_desc_not_translated,13/13 desc cells English,3
reference.aspose.org,cells,fi,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\fi\cells\python\shape.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\cells\python\shape.md,newline_explosion,EN=95 TR=281,4
reference.aspose.org,cells,fr,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\fr\cells\python\shape.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\cells\python\shape.md,newline_explosion,EN=95 TR=281,4
reference.aspose.org,cells,he,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\he\cells\python\shape.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\cells\python\shape.md,newline_explosion,EN=95 TR=281,4
reference.aspose.org,cells,he,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\he\cells\python\shape.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\cells\python\shape.md,table_desc_not_translated,13/13 desc cells English,3
reference.aspose.org,cells,hi,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\hi\cells\python\shape.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\cells\python\shape.md,newline_explosion,EN=95 TR=272,4
reference.aspose.org,cells,hi,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\hi\cells\python\shape.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\cells\python\shape.md,table_desc_not_translated,13/13 desc cells English,3
reference.aspose.org,cells,hr,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\hr\cells\python\shape.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\cells\python\shape.md,newline_explosion,EN=95 TR=281,4
reference.aspose.org,cells,hu,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\hu\cells\python\shape.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\cells\python\shape.md,newline_explosion,EN=95 TR=281,4
reference.aspose.org,cells,id,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\id\cells\python\shape.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\cells\python\shape.md,newline_explosion,EN=95 TR=281,4
reference.aspose.org,cells,it,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\it\cells\python\shape.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\cells\python\shape.md,newline_explosion,EN=95 TR=281,4
reference.aspose.org,cells,lt,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\lt\cells\python\shape.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\cells\python\shape.md,newline_explosion,EN=95 TR=281,4
reference.aspose.org,cells,lv,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\lv\cells\python\shape.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\cells\python\shape.md,newline_explosion,EN=95 TR=281,4
reference.aspose.org,cells,ms,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\ms\cells\python\shape.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\cells\python\shape.md,newline_explosion,EN=95 TR=281,4
reference.aspose.org,cells,nl,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\nl\cells\python\shape.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\cells\python\shape.md,newline_explosion,EN=95 TR=281,4
reference.aspose.org,cells,no,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\no\cells\python\shape.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\cells\python\shape.md,newline_explosion,EN=95 TR=281,4
reference.aspose.org,cells,pl,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\pl\cells\python\shape.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\cells\python\shape.md,newline_explosion,EN=95 TR=281,4
reference.aspose.org,cells,pt,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\pt\cells\python\shape.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\cells\python\shape.md,newline_explosion,EN=95 TR=281,4
reference.aspose.org,cells,ro,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\ro\cells\python\shape.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\cells\python\shape.md,newline_explosion,EN=95 TR=281,4
reference.aspose.org,cells,ru,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\ru\cells\python\shape.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\cells\python\shape.md,newline_explosion,EN=95 TR=281,4
