site_id,family,locale,issue_type,count
websites.aspose.org,groupdocs,tr,title_mismatch,3
websites.aspose.org,groupdocs,uk,title_mismatch,3
websites.aspose.org,groupdocs,vi,title_mismatch,3
websites.aspose.org,groupdocs,zh,title_mismatch,3
blog.aspose.org,3d,ko,double_period,2
blog.aspose.org,cells,el,code_fence_dropped,2
blog.aspose.org,cells,es,code_fence_dropped,2
blog.aspose.org,cells,fa,code_fence_dropped,2
blog.aspose.org,cells,fi,code_fence_dropped,2
blog.aspose.org,cells,fr,code_fence_dropped,2
blog.aspose.org,cells,he,code_fence_dropped,2
blog.aspose.org,cells,hi,code_fence_dropped,2
blog.aspose.org,cells,it,code_fence_dropped,2
blog.aspose.org,cells,ja,code_fence_dropped,2
blog.aspose.org,cells,ja,double_period,2
blog.aspose.org,cells,ko,code_fence_dropped,2
blog.aspose.org,cells,lt,code_fence_dropped,2
blog.aspose.org,cells,lv,code_fence_dropped,2
blog.aspose.org,cells,ms,code_fence_dropped,2
blog.aspose.org,cells,nl,code_fence_dropped,2
blog.aspose.org,cells,no,code_fence_dropped,2
blog.aspose.org,cells,pl,code_fence_dropped,2
blog.aspose.org,cells,pt,code_fence_dropped,2
blog.aspose.org,cells,ro,code_fence_dropped,2
blog.aspose.org,cells,ru,code_fence_dropped,2
blog.aspose.org,cells,sk,code_fence_dropped,2
blog.aspose.org,cells,sr,code_fence_dropped,2
blog.aspose.org,cells,sv,code_fence_dropped,2
blog.aspose.org,cells,th,code_fence_dropped,2
blog.aspose.org,cells,uk,code_fence_dropped,2
blog.aspose.org,cells,zh,code_fence_dropped,2
blog.aspose.org,email,fa,code_fence_dropped,2
blog.aspose.org,email,th,code_fence_dropped,2
blog.aspose.org,email,tr,code_fence_dropped,2
blog.aspose.org,email,uk,code_fence_dropped,2
blog.aspose.org,email,vi,code_fence_dropped,2
blog.aspose.org,note,el,code_fence_dropped,2
blog.aspose.org,note,es,code_fence_dropped,2
blog.aspose.org,note,fa,code_fence_dropped,2
blog.aspose.org,note,fi,code_fence_dropped,2
blog.aspose.org,note,fr,code_fence_dropped,2
blog.aspose.org,note,he,code_fence_dropped,2
blog.aspose.org,note,hi,code_fence_dropped,2
blog.aspose.org,note,it,code_fence_dropped,2
blog.aspose.org,note,ja,code_fence_dropped,2
blog.aspose.org,note,ko,code_fence_dropped,2
blog.aspose.org,note,lt,code_fence_dropped,2
blog.aspose.org,note,lv,code_fence_dropped,2
blog.aspose.org,note,ms,code_fence_dropped,2
blog.aspose.org,note,nl,code_fence_dropped,2
blog.aspose.org,note,no,code_fence_dropped,2
blog.aspose.org,note,pl,code_fence_dropped,2
blog.aspose.org,note,pt,code_fence_dropped,2
blog.aspose.org,note,ro,code_fence_dropped,2
blog.aspose.org,note,ru,code_fence_dropped,2
blog.aspose.org,note,sk,code_fence_dropped,2
blog.aspose.org,note,sr,code_fence_dropped,2
blog.aspose.org,note,sv,code_fence_dropped,2
blog.aspose.org,note,th,code_fence_dropped,2
blog.aspose.org,note,tr,code_fence_dropped,2
blog.aspose.org,note,uk,code_fence_dropped,2
blog.aspose.org,note,vi,code_fence_dropped,2
blog.aspose.org,note,zh,code_fence_dropped,2
blog.aspose.org,slides,ar,code_fence_dropped,2
blog.aspose.org,slides,bg,code_fence_dropped,2
blog.aspose.org,slides,ca,code_fence_dropped,2
blog.aspose.org,slides,cs,code_fence_dropped,2
blog.aspose.org,slides,da,code_fence_dropped,2
blog.aspose.org,slides,de,code_fence_dropped,2
blog.aspose.org,slides,el,code_fence_dropped,2
blog.aspose.org,slides,es,code_fence_dropped,2
blog.aspose.org,slides,fa,code_fence_dropped,2
blog.aspose.org,slides,fi,code_fence_dropped,2
blog.aspose.org,slides,fr,code_fence_dropped,2
blog.aspose.org,slides,he,code_fence_dropped,2
blog.aspose.org,slides,hi,code_fence_dropped,2
blog.aspose.org,slides,hr,code_fence_dropped,2
blog.aspose.org,slides,id,code_fence_dropped,2
blog.aspose.org,slides,it,code_fence_dropped,2
blog.aspose.org,slides,ja,code_fence_dropped,2
blog.aspose.org,slides,ko,code_fence_dropped,2
blog.aspose.org,slides,lt,code_fence_dropped,2
blog.aspose.org,slides,lv,code_fence_dropped,2
blog.aspose.org,slides,ms,code_fence_dropped,2
blog.aspose.org,slides,nl,code_fence_dropped,2
blog.aspose.org,slides,no,code_fence_dropped,2
blog.aspose.org,slides,pl,code_fence_dropped,2
blog.aspose.org,slides,pt,code_fence_dropped,2
blog.aspose.org,slides,ro,code_fence_dropped,2
blog.aspose.org,slides,ru,code_fence_dropped,2
blog.aspose.org,slides,sk,code_fence_dropped,2
